filename,width,height,class,xmin,ymin,xmax,ymax
becks_150310557823.jpg,640,352,becks,160,35,266,306
becks_150310617414.jpg,640,352,becks,156,36,262,307
becks_150310924379.jpg,640,352,becks,142,46,244,307
becks_150311062380.jpg,640,352,becks,142,50,242,305
becks_150311372381.jpg,640,352,becks,143,66,243,321
becks_150311665382.jpg,640,352,becks,146,95,244,345
becks_150311842380.jpg,640,352,becks,136,111,234,361
becks_150312643382.jpg,640,352,becks,57,99,174,398
becks_150312767385.jpg,640,352,becks,54,90,176,401
becks_150313234381.jpg,640,352,becks,58,96,178,401
becks_150313361382.jpg,640,352,becks,58,105,175,404
becks_150313637381.jpg,640,352,becks,58,109,175,408
becks_150313963382.jpg,640,352,becks,79,100,196,399
becks_150314336382.jpg,640,352,becks,105,84,227,395
becks_150316738380.jpg,640,352,becks,245,103,358,391
becks_150316838382.jpg,640,352,becks,246,103,359,391
becks_150317006382.jpg,640,352,becks,252,102,365,390
becks_150317082381.jpg,640,352,becks,258,103,371,391
becks_150317579415.jpg,640,352,becks,287,112,400,400
becks_150317754382.jpg,640,352,becks,283,115,396,403
